TM1,Score1,vs,TM2,Score2,week
TB,31,-,DAL,29,1
ARI,38,-,TEN,13,1
HOU,37,-,JAC,21,1
LAC,20,-,WAS,16,1
CIN,27,-,MIN,24,1
CAR,19,-,NYJ,14,1
PHI,32,-,ATL,6,1
PIT,23,-,BUF,16,1
SEA,28,-,IND,16,1
SF,41,-,DET,33,1
KC,33,-,CLE,29,1
DEN,27,-,NYG,13,1
NO,38,-,GB,3,1
MIA,17,-,NE,16,1
LAR,34,-,CHI,14,1
LV,33,-,BAL,27,1
WAS,30,-,NYG,29,2
BUF,35,-,MIA,0,2
CHI,20,-,CIN,17,2
DEN,23,-,JAC,13,2
CLE,31,-,HOU,21,2
LAR,27,-,IND,24,2
LV,26,-,PIT,17,2
NE,25,-,NYJ,6,2
CAR,26,-,NO,7,2
SF,17,-,PHI,11,2
TB,48,-,ATL,25,2
ARI,34,-,MIN,33,2
DAL,20,-,LAC,17,2
TEN,33,-,SEA,30,2
BAL,36,-,KC,35,2
GB,35,-,DET,17,2
CAR,24,-,HOU,9,3
ARI,31,-,JAC,19,3
ATL,17,-,NYG,14,3
BAL,19,-,DET,17,3
CLE,26,-,CHI,6,3
CIN,24,-,PIT,10,3
TEN,25,-,IND,16,3
LAC,30,-,KC,24,3
NO,28,-,NE,13,3
BUF,43,-,WAS,21,3
LV,31,-,MIA,28,3
DEN,26,-,NYJ,0,3
MIN,30,-,SEA,17,3
LAR,34,-,TB,24,3
GB,30,-,SF,28,3
DAL,41,-,PHI,21,3
CIN,24,-,JAC,21,4
DAL,36,-,CAR,28,4
CLE,14,-,MIN,7,4
CHI,24,-,DET,14,4
BUF,40,-,HOU,0,4
IND,27,-,MIA,17,4
KC,42,-,PHI,30,4
NYG,27,-,NO,21,4
NYJ,27,-,TEN,24,4
WAS,34,-,ATL,30,4
ARI,37,-,LAR,20,4
SEA,28,-,SF,21,4
BAL,23,-,DEN,7,4
GB,27,-,PIT,17,4
TB,19,-,NE,17,4
LAC,28,-,LV,14,4
LAR,26,-,SEA,17,5
ATL,27,-,NYJ,20,5
PIT,27,-,DEN,19,5
MIN,19,-,DET,17,5
GB,25,-,CIN,22,5
TB,45,-,MIA,17,5
NE,25,-,HOU,22,5
NO,33,-,WAS,22,5
PHI,21,-,CAR,18,5
TEN,37,-,JAC,19,5
CHI,20,-,LV,9,5
LAC,47,-,CLE,42,5
DAL,44,-,NYG,20,5
ARI,17,-,SF,10,5
BUF,38,-,KC,20,5
BAL,31,-,IND,25,5
TB,28,-,PHI,22,6
JAC,23,-,MIA,20,6
GB,24,-,CHI,14,6
CIN,34,-,DET,11,6
IND,31,-,HOU,3,6
KC,31,-,WAS,13,6
BAL,34,-,LAC,6,6
LAR,38,-,NYG,11,6
MIN,34,-,CAR,28,6
ARI,37,-,CLE,14,6
DAL,35,-,NE,29,6
LV,34,-,DEN,24,6
PIT,23,-,SEA,20,6
TEN,34,-,BUF,31,6
CLE,17,-,DEN,14,7
ATL,30,-,MIA,28,7
NYG,25,-,CAR,3,7
CIN,41,-,BAL,17,7
TEN,27,-,KC,3,7
NE,54,-,NYJ,13,7
GB,24,-,WAS,10,7
LAR,28,-,DET,19,7
LV,33,-,PHI,22,7
TB,38,-,CHI,3,7
ARI,31,-,HOU,5,7
IND,30,-,SF,18,7
NO,13,-,SEA,10,7
GB,24,-,ARI,21,8
CAR,19,-,ATL,13,8
NYJ,34,-,CIN,31,8
LAR,38,-,HOU,22,8
BUF,26,-,MIA,11,8
PHI,44,-,DET,6,8
PIT,15,-,CLE,10,8
SF,33,-,CHI,22,8
TEN,34,-,IND,31,8
SEA,31,-,JAC,7,8
NE,27,-,LAC,24,8
NO,36,-,TB,27,8
DEN,17,-,WAS,10,8
DAL,20,-,MIN,16,8
KC,20,-,NYG,17,8
IND,45,-,NYJ,30,9
JAC,9,-,BUF,6,9
ATL,27,-,NO,25,9
CLE,41,-,CIN,16,9
DEN,30,-,DAL,16,9
MIA,17,-,HOU,9,9
NYG,23,-,LV,16,9
BAL,34,-,MIN,31,9
NE,24,-,CAR,6,9
LAC,27,-,PHI,24,9
ARI,31,-,SF,17,9
KC,13,-,GB,7,9
TEN,28,-,LAR,16,9
PIT,29,-,CHI,27,9
