team,odds,week
Football Team,360,16
Eagles,-475,16
Seahawks,285,16
Rams,-360,16
49ers,-180,16
Titans,155,16
Browns,280,16
Packers,-350,16
Colts,-110,16
Cardinals,-110,16
Rams,-150,16
Vikings,130,16
Jaguars,115,16
Jets,-135,16
Lions,205,16
Falcons,-250,16
Giants,350,16
Eagles,-450,16
Ravens,115,16
Bengals,-135,16
Buccaneers,-550,16
Panthers,400,16
Chargers,-440,16
Texans,340,16
Bills,115,16
Patriots,-135,16
Bears,235,16
Seahawks,-290,16
Broncos,100,16
Raiders,-120,16
Steelers,300,16
Chiefs,-380,16
Football Team,400,16
Cowboys,-550,16
Dolphins,145,16
Saints,-170,16
